"id","spot_id","flower_item_id"
"1","1","24"
"2","2","24"
"3","3","1"
"4","4","2"
"5","5","2"
"6","6","17"
"7","7","6"
"8","8","7"
"9","9","7"
"10","10","8"
"11","10","18"
"12","12","12"
"13","13","19"
"14","15","12"
"15","16","12"
"16","17","1"
"17","18","14"
"18","23","15"
"19","24","15"
"20","25","16"
"21","26","17"
"22","27","19"
"23","28","19"
"24","29","21"
"25","30","21"
"26","31","22"
"27","32","22"
"28","34","23"
"29","35","25"
"30","36","25"
"31","37","26"
"32","38","26"
"33","39","27"
"34","40","27"
"35","41","28"
"36","42","21"
"37","47","30"