"spot_id","season_id"
"1","7"
"1","8"
"2","7"
"2","8"
"3","3"
"3","4"
"4","3"
"4","4"
"5","3"
"5","4"
"6","4"
"6","5"
"6","6"
"6","7"
"7","3"
"7","4"
"8","6"
"8","7"
"8","8"
"8","9"
"9","6"
"9","7"
"9","8"
"9","9"
"9","10"
"10","4"
"10","5"
"10","6"
"10","7"
"10","8"
"10","9"
"10","10"
"11","4"
"11","5"
"11","6"
"11","7"
"11","8"
"11","9"
"11","10"
"12","3"
"12","4"
"13","6"
"13","7"
"13","8"
"13","9"
"14","6"
"15","4"
"15","5"
"16","4"
"16","5"
"17","4"
"17","5"
"18","4"
"18","5"
"19","6"
"19","7"
"19","8"
"20","6"
"20","7"
"20","8"
"21","11"
"21","12"
"22","11"
"22","12"
"23","5"
"23","6"
"24","4"
"24","5"
"25","6"
"25","7"
"25","8"
"26","6"
"26","7"
"26","8"
"26","9"
"26","10"
"27","3"
"27","4"
"27","5"
"27","6"
"28","6"
"28","7"
"28","8"
"28","9"
"29","6"
"29","7"
"29","8"
"29","9"
"29","10"
"30","5"
"30","6"
"30","7"
"31","6"
"31","7"
"32","6"
"32","7"
"32","8"
"33","6"
"33","7"
"33","8"
"34","7"
"34","8"
"35","9"
"35","10"
"36","8"
"36","9"
"36","10"
"37","6"
"37","7"
"38","6"
"38","7"
"39","5"
"39","6"
"39","7"
"40","5"
"40","6"
"40","7"
"41","7"
"41","8"
"41","9"
"41","10"
"42","5"
"42","6"
"42","7"
"43","7"
"43","8"
"43","9"
"43","10"
"44","8"
"44","9"
"44","10"
"45","9"
"46","9"
"47","6"
"47","7"
"47","8"
"47","9"
"47","10"